Cod,Nome Pais,Capital,Região,Moeda,Coordenadas,Área,População
724.0,Spain,Madrid,Europe,Euro,"[40.0, -4.0]",505992.0,47351567
388.0,Jamaica,Kingston,Americas,Jamaican dollar,"[18.25, -77.5]",10991.0,2961161
275.0,Palestine,Ramallah,Asia,Egyptian pound,"[31.9, 35.2]",6220.0,4803269
254.0,French Guiana,Cayenne,Americas,Euro,"[4.0, -53.0]",83534.0,254541
20.0,Andorra,Andorra la Vella,Europe,Euro,"[42.5, 1.5]",468.0,77265
152.0,Chile,Santiago,Americas,Chilean peso,"[-30.0, -71.0]",756102.0,19116209
426.0,Lesotho,Maseru,Africa,Lesotho loti,"[-29.5, 28.5]",30355.0,2142252
36.0,Australia,Canberra,Oceania,Australian dollar,"[-27.0, 133.0]",7692024.0,25687041
308.0,Grenada,St. George's,Americas,Eastern Caribbean dollar,"[12.11666666, -61.66666666]",344.0,112519
288.0,Ghana,Accra,Africa,Ghanaian cedi,"[8.0, -2.0]",238533.0,31072945
690.0,Seychelles,Victoria,Africa,Seychellois rupee,"[-4.58333333, 55.66666666]",452.0,98462
24.0,Angola,Luanda,Africa,Angolan kwanza,"[-12.5, 18.5]",1246700.0,32866268
60.0,Bermuda,Hamilton,Americas,Bermudian dollar,"[32.33333333, -64.75]",54.0,63903
586.0,Pakistan,Islamabad,Asia,Pakistani rupee,"[30.0, 70.0]",881912.0,220892331
466.0,Mali,Bamako,Africa,West African CFA franc,"[17.0, -4.0]",1240192.0,20250834
682.0,Saudi Arabia,Riyadh,Asia,Saudi riyal,"[25.0, 45.0]",2149690.0,34813867
531.0,Curaçao,Willemstad,Americas,Netherlands Antillean guilder,"[12.116667, -68.933333]",444.0,155014
410.0,South Korea,Seoul,Asia,South Korean won,"[37.0, 127.5]",100210.0,51780579
231.0,Ethiopia,Addis Ababa,Africa,Ethiopian birr,"[8.0, 38.0]",1104300.0,114963583
312.0,Guadeloupe,Basse-Terre,Americas,Euro,"[16.25, -61.583333]",1628.0,400132
50.0,Bangladesh,Dhaka,Asia,Bangladeshi taka,"[24.0, 90.0]",147570.0,164689383
554.0,New Zealand,Wellington,Oceania,New Zealand dollar,"[-41.0, 174.0]",270467.0,5084300
174.0,Comoros,Moroni,Africa,Comorian franc,"[-12.16666666, 44.25]",1862.0,869595
84.0,Belize,Belmopan,Americas,Belize dollar,"[17.25, -88.75]",22966.0,397621
800.0,Uganda,Kampala,Africa,Ugandan shilling,"[1.0, 32.0]",241550.0,45741000
702.0,Singapore,Singapore,Asia,Singapore dollar,"[1.36666666, 103.8]",710.0,5685807
438.0,Liechtenstein,Vaduz,Europe,Swiss franc,"[47.26666666, 9.53333333]",160.0,38137
348.0,Hungary,Budapest,Europe,Hungarian forint,"[47.0, 20.0]",93028.0,9749763
352.0,Iceland,Reykjavik,Europe,Icelandic króna,"[65.0, -18.0]",103000.0,366425
762.0,Tajikistan,Dushanbe,Asia,Tajikistani somoni,"[39.0, 71.0]",143100.0,9537642
516.0,Namibia,Windhoek,Africa,Namibian dollar,"[-22.0, 17.0]",825615.0,2540916
626.0,Timor-Leste,Dili,Asia,United States dollar,"[-8.83333333, 125.91666666]",14874.0,1318442
818.0,Egypt,Cairo,Africa,Egyptian pound,"[27.0, 30.0]",1002450.0,102334403
688.0,Serbia,Belgrade,Europe,Serbian dinar,"[44.0, 21.0]",88361.0,6908224
480.0,Mauritius,Port Louis,Africa,Mauritian rupee,"[-20.28333333, 57.55]",2040.0,1265740
258.0,French Polynesia,Papeetē,Oceania,CFP franc,"[17.6797, 149.4068]",4167.0,280904
462.0,Maldives,Malé,Asia,Maldivian rufiyaa,"[3.25, 73.0]",300.0,540542
360.0,Indonesia,Jakarta,Asia,Indonesian rupiah,"[-5.0, 120.0]",1904569.0,273523621
180.0,DR Congo,Kinshasa,Africa,Congolese franc,"[0.0, 25.0]",2344858.0,108407721
233.0,Estonia,Tallinn,Europe,Euro,"[59.0, 26.0]",45227.0,1331057
704.0,Vietnam,Hanoi,Asia,Vietnamese đồng,"[16.16666666, 107.83333333]",331212.0,97338583
380.0,Italy,Rome,Europe,Euro,"[42.83333333, 12.83333333]",301336.0,59554023
324.0,Guinea,Conakry,Africa,Guinean franc,"[11.0, -10.0]",245857.0,13132792
148.0,Chad,N'Djamena,Africa,Central African CFA franc,"[15.0, 19.0]",1284000.0,16425859
218.0,Ecuador,Quito,Americas,United States dollar,"[-2.0, -77.5]",276841.0,17643060
268.0,Georgia,Tbilisi,Asia,lari,"[42.0, 43.5]",69700.0,3714000
454.0,Malawi,Lilongwe,Africa,Malawian kwacha,"[-13.5, 34.0]",118484.0,19129955
368.0,Iraq,Baghdad,Asia,Iraqi dinar,"[33.0, 44.0]",438317.0,40222503
744.0,Svalbard and Jan Mayen,Longyearbyen,Europe,krone,"[78.0, 20.0]",61399.0,2562
204.0,Benin,Porto-Novo,Africa,West African CFA franc,"[9.5, 2.25]",112622.0,12123198
392.0,Japan,Tokyo,Asia,Japanese yen,"[36.0, 138.0]",377930.0,125836021
214.0,Dominican Republic,Santo Domingo,Americas,Dominican peso,"[19.0, -70.66666666]",48671.0,10847904
634.0,Qatar,Doha,Asia,Qatari riyal,"[25.5, 51.25]",11586.0,2881060
266.0,Gabon,Libreville,Africa,Central African CFA franc,"[-1.0, 11.75]",267668.0,2225728
